材料表,,,,,,,
材料名称,参数(mm),参数(mm),参数(mm),每根长度(m),每根质量(kg),理论需根数,理论需质量(kg)
等边角钢,4,50,50,6,18.0864,0.4266666666666667,7.716864000000001
等边角钢,3,40,40,6,10.8801,114.491,1245.6735291000002
圆钢,10,,,9,5.5488380180625,95.32444444444444,528.93990138402
圆钢,10,1,,9,5.5488380180625,139.94400000000002,776.5265875997387
圆钢,12,,,9,7.99032674601,10.152999999999999,81.12578745223954
圆钢,20,,,9,22.19535207225,52.467333333333336,1164.5309356254315
圆钢,20,1,,9,22.19535207225,20.480444444444444,454.57067504060103
圆钢,14,,,9,10.8757225154025,334.3042222222222,3635.7999566163435
圆钢,14,1,,9,10.8757225154025,3.419111111111111,37.18530369377397
方管,3,40,40,6,324.04800000000006,82.08,26597.85984
扁钢,6,200,,6,56.52,7.466666666666666,422.016
扁钢,6,40,,6,11.304,239.15373333333332,2703.3938016
扁钢,8,80,,6,30.144000000000005,13.6,409.9584
扁钢,8,40,,6,15.072000000000003,1.92,28.93824
外购件 数量1260,,,,,,,
板材 数量88,4,40,40,,,,
